"date","strategy_return_pct","benchmark_return_pct"
"2018-01-02","1.19","1.4"
"2018-01-03","1.72","2"
"2018-01-04","2.04","2.43"
"2018-01-05","2.43","2.68"
"2018-01-08","2.79","3.21"
"2018-01-09","2.7","3.93"
"2018-01-10","2.18","4.39"
"2018-01-11","2.43","4.34"
"2018-01-12","1.91","4.82"
"2018-01-15","1.41","4.82"
"2018-01-16","2.43","5.65"
"2018-01-17","2.12","5.39"
"2018-01-18","2.78","5.97"
"2018-01-19","3.07","6.32"
"2018-01-22","4.37","7.59"
"2018-01-23","5.42","8.73"
"2018-01-24","5.49","8.91"
"2018-01-25","4.82","8.29"
"2018-01-26","5.34","8.69"
"2018-01-29","3.34","6.73"
"2018-01-30","2.29","5.59"
"2018-01-31","2.6","6.08"
"2018-02-01","1.88","5.34"
"2018-02-02","2.5","5.96"
"2018-02-05","2.41","6.04"
"2018-02-06","-0.47","2.93"
"2018-02-07","-2.82","0.49"
"2018-02-08","-3.62","-0.47"
"2018-02-09","-8.06","-4.72"
"2018-02-12","-7.87","-3.49"
"2018-02-13","-7.87","-2.36"
"2018-02-14","-7.87","-1.59"
"2018-02-22","-7.87","0.54"
"2018-02-23","-7.87","1"
"2018-02-26","-7.87","2.17"
"2018-02-27","-7.87","0.7"
"2018-02-28","-7.87","-0.18"
"2018-03-01","-7.87","0.45"
"2018-03-02","-7.87","-0.36"
"2018-03-05","-7.87","-0.32"
"2018-03-06","-7.87","0.89"
"2018-03-07","-7.87","0.14"
"2018-03-08","-7.87","1.16"
"2018-03-09","-7.87","1.94"
"2018-03-12","-7.67","2.4"
"2018-03-13","-8.19","1.5"
"2018-03-14","-9.54","1.05"
"2018-03-15","-9.49","1.62"
"2018-03-16","-10.84","0.63"
"2018-03-19","-9.8","1.08"
"2018-03-20","-8.55","1.16"
"2018-03-21","-10.63","0.75"
"2018-03-22","-11.1","-0.26"
"2018-03-23","-15.72","-3.12"
"2018-03-26","-13.07","-3.75"
"2018-03-27","-9.7","-2.92"
"2018-03-28","-10.11","-4.67"
"2018-03-29","-9.64","-3.39"
"2018-03-30","-6.95","-3.28"
"2018-04-02","-7.1","-3.57"
"2018-04-03","-8.35","-4.18"
"2018-04-04","-10.01","-4.37"
"2018-04-09","-9.75","-4.41"
"2018-04-10","-10.01","-2.57"
"2018-04-11","-10.16","-2.3"
"2018-04-12","-10.63","-3.28"
"2018-04-13","-10.58","-3.96"
